mcc,mnc,country,network,ratePerMb
232,*,Austria,A1 Telekom & T-Mobile,0.001
206,*,Belgium,KPN & Mobistar & Proximus,0.001
284,*,Bulgaria,COSMO & MobilTel AD & VivaTel,0.001
219,*,Croatia,Croatian Telecom & Tele2 & VipnetGSM,0.001
280,*,Cyprus,Vodafone & MTN & Primetel,0.001
230,*,Czech Republic,O2 & T-Mobile & Vodafone,0.001
238,*,Denmark,Hi3G & TDC & Telenor & Telia,0.001
248,*,Estonia,Eesti & Elisa & Tele2,0.001
244,*,Finland,DNA & Elisa & TeliaSonera,0.001
208,*,France,Bouygues & Free & Orange & SFR,0.001
262,*,Germany,Telefonica & DT & Vodafone,0.001
202,*,Greece,COSMOTE & Vodafone & Wind,0.001
216,*,Hungary,Pannon & T-Mobile & Vodafone,0.001
272,*,Ireland,Hutchison & Meeor & O2 & Vodafone,0.001
222,*,Italy,Iliad & TIM & Vodafone & WIND,0.001
247,*,Latvia,Bite & Latvian Mob & Tele2,0.001
246,*,Lithuania,Omnitel & Tele2 & UAB Bite,0.001
270,*,Luxembourg,P&T Tango & VOXmobile,0.001
278,*,Malta,Melita & Mobisle & Vodafone,0.001
204,*,Netherlands,KPN,0.001
260,*,Poland,Orange & P4 & Polkomtel & Telefonica,0.001
268,*,Portugal,TMN & Optimus & Vodafone,0.001
226,*,Romania,Cosmote & Orange & RCS & Vodafone,0.001
231,*,Slovakia,O2 & Orange & T-Mobile,0.001
293,*,Slovenia,T-Mobile & A1 & Mobitel & TUSMobile,0.001
214,*,Spain,Orange & Telefonica & Vodafone & Xfera,0.001
240,*,Sweden,Hi3G & Tele2 & Telenor & TeliaSonera,0.001
234,*,United Kingdom,T-Mobile & Hutchison & O2 & Vodafone,0.001
520,*,Thailand,AIS,0.001
502,*,Malaysia,Celcom & DiGi & Maxis,0.001
510,*,Indonesia,Hutchison & PT & XL & Telkomsel,0.001
452,*,Viet nam,Mobifone & Viettel & VNPT,0.001
456,*,Cambodia,CamGSM & Metfone Vietel,0.001
505,*,Australia,Optus & Telstra,0.001
525,*,Singapore,SingTel & StarHub & Tpg,0.001
310,*,United States,,0.0014
311,*,United States,,0.0014
312,*,United States,,0.0014
313,*,United States,,0.0014
314,*,United States,,0.0014
315,*,United States,,0.0014
316,*,United States,,0.0014
302,*,Canada,Bell & Rogers & SaskTel & TELUS,0.0037
334,*,Mexico,Iusacell & Movistar & Telcel,0.0024
732,*,Colombia,Movil & Comcel & Telefonica,0.0024
724,*,Brazil,Claro & VIVO,0.0024
722,*,Argentina,CTI & Telefonica,0.0024
716,*,Peru,Claro & Nextel & Telefonica,0.0024
730,*,Chile,Claro & Entel & Telefonica,0.0024
515,*,Philippines,Globe,0.0056
414,*,Myanmar,Posts and Telecom,0.0071
427,*,Qatar,Vodafone & Q-Tel,0.0075
426,*,Bahrain,Batelco,0.0063
420,*,Saudi Arabia,Mobily & Zain,0.0081
424,*,United Arab Emirates,DU & Etisalat,0.0103
422,*,Oman,Omantel,0.0088
416,*,Jordan,JMTS,0.0103
655,*,South Africa,MTN & 8ta,0.0045
460,*,China,CM & CU,0.0038
412,*,Afghanistan,MTN,0.0096
276,*,Albania,Telekom Albania,0.007
603,*,Algeria,Optimum & Wataniya,0.0221
213,*,Andorra,Andorra Telecom,0.007
631,*,Angola,Unitel,0.9525
365,*,Anguilla,Cable and Wireless,0.0193
344,*,Antigua And Barbuda,Cable and Wireless,0.0193
283,*,Armenia,ArmenTel & VivaCell,0.0123
363,*,Aruba,Setar,0.0075
400,*,Azerbaijan,Bakcell,0.021
364,*,Bahamas,Bahamas Telecom & Be Aliv,0.0284
342,*,Barbados,Cable and Wireless,0.0193
257,*,Belarus,FE VELCOM,0.0158
